"id","text","author"
"id2000","They sat on the dresser like anything I put in my pocket before leaving The house. I even saw a","JB"
"id2001","few tiny ones Tilted against the window of my living Room, little metal threats with splinters For handles. They leaned","JB"
"id2002","like those Teenage boys at the corner who might Not be teenage boys because they ask For dollars in the","JB"
"id2003","middle Of the April day and because they knock At 10 a.m. Do I need help lifting some"," Thing heavy?","JB"
"id2004","Yard work? I wondered If only I saw the hammers. The teenage Boys visiting seemed not to care that They","JB"
"id2005","lay on the floor lit by the TV. I'd have covered them up with rugs, With dry towels and linen,","JB"
"id2006","but their claw And sledge and ball peen heads shone In the dark, which is, at least, a view In the","JB"
"id2007","dark. And their handles meant My hands, striking surfaces, getting Shelves up, finally. One stayed In my tub, slowing the","JB"
"id2008","drain. I found Another propped near the bulb In the refrigerator. Wasn't I hungry? Why have them there if I","JB"
"id2009","could not Use them, if I could not look at my own Reflection in the mirror and take one To","JB"
"id2010","the temple and knock myself out? I spent what light Saturday sent sweating And learned to cuss cutting grass for","JB"
"id2011","women Kind enough to say they couldn't tell the damned Difference between their mowed lawns And their vacuumed carpets just","JB"
"id2012","before Handing over a five dollar bill rolled tighter Than a joint and asking me in to change A few light","JB"
"id2013","bulbs. I called those women old Because they wouldn't move out of a chair Without my help or walk without","JB"
"id2014","a hand At the base of their backs. I called them Old, and they must have been; they're all dead","JB"
"id2015","Now, dead and in the earth I once tended. The loneliest people have the earth to love And not one","JB"
"id2016","friend their own age—only Mothers to baby them and big sisters to boss Them around, women they want to please","JB"
"id2017","And pray for the chance to say please to. I don't do that kind of work anymore. My job Is","JB"
"id2018","to look at the childhood I hated and say I once had something to do with my hands. Peace on","JB"
"id2019","this planet Or guns glowing hot, We lay there together As if we were getting Something done. It Felt like","JB"
"id2020","planting A garden or planning A meal for a people Who still need feeding, All that touching or Barely touching,","JB"
"id2021","not Saying much, not adding Anything. The cushion Of it, the skin and Occasional sigh, all Seemed like work worth","JB"
"id2022","Mastering. I’m sure Somebody died while We made love. Some  Body killed somebody Black. I thought then Of holding you","JB"
"id2023","As a political act. I May as well have Held myself. We didn’t Stand for one thought, Didn’t do a","JB"
"id2024","damn thing, And though you left Me, I’m glad we didn’t. I begin with love, hoping to end there. I","JB"
"id2025","don’t want to leave a messy corpse. I don’t want to leave a messy corpse Full of medicines that turn","JB"
"id2026","in the sun. Some of my medicines turn in the sun. Some of us don’t need hell to be good.","JB"
"id2027","Those who need most, need hell to be good. What are the symptoms of your sickness? Here is one symptom","JB"
"id2028","of my sickness: Men who love me are men who miss me. Men who leave me are men who miss","JB"
"id2029","me In the dream where I am an island. In the dream where I am an island, I grow green","JB"
"id2030","with hope. I’d like to end there. I will not shoot myself In the head, and I will not shoot","JB"
"id2031","myself In the back, and I will not hang myself With a trashbag, and if I do, I promise you,","JB"
"id2032","I will not do it In a police car while handcuffed Or in the jail cell of a town I","JB"
"id2033","only know the name of Because I have to drive through it To get home. Yes, I may be at","JB"
"id2034","risk, But I promise you, I trust the maggots Who live beneath the floorboards Of my house to do what","JB"
"id2035","they must To any carcass more than I trust An officer of the law of the land To shut my","JB"
"id2036","eyes like a man Of God might, or to cover me with a sheet So clean my mother could have","JB"
"id2037","used it To tuck me in. When I kill me, I will Do it the same way most Americans do,","JB"
"id2038","I promise you: cigarette smoke Or a piece of meat on which I choke Or so broke I freeze In","JB"
"id2039","one of these winters we keep Calling worst. I promise if you hear Of me dead anywhere near A cop,","JB"
"id2040","then that cop killed me. He took Me from us and left my body, which is, No matter what we’ve","JB"
"id2041","been taught, Greater than the settlement a city can pay A mother to stop crying, and more Beautiful than the","JB"
"id2042","new bullet Fished from the folds of my brain. I don’t want to hurt a man, but I like to","JB"
"id2043","hear one beg. Two people touch twice a month in ten hotels, and We call it long distance. He holds","JB"
"id2044","down one coast. I wander the other like any African American, Africa With its condition and America with its condition","JB"
"id2045","And black folk born in this nation content to carry Half of each. I shoulder my share. My man flies","JB"
"id2046","To touch me. Sky on our side. Sky above his world I wish to write. Which is where I go","JB"
"id2047","wrong. Words Are a sense of sound. I get smart. My mother shakes Her head. My grandmother sighs: He ain’t","JB"
"id2048","got no Sense. My grandmother is dead. She lives with me. I hear my mother shake her head over the","JB"
"id2049","phone. Somebody cut the cord. We have a long distance Relationship. I lost half of her to a stroke. God gives","JB"
"id2050","To each a body. God gives every body its pains. When pain mounts in my body, I try thinking Of","JB"
"id2051","my white forefathers who hurt their black bastards Quite legally. I hate to say it, but one pain can ease","JB"
"id2052","Another. Doctors rather I take pills. My man wants me To see a doctor. What are you when you leave","JB"
"id2053","your man Wanting? What am I now that I think so fondly Of airplanes? What’s my name, whose is it,","JB"
"id2054","while we Make love. My lover leaves me with words I wish To write. Flies from one side of a","JB"
"id2055","nation to the outside Of our world. I don’t want the world. I only want African sense of American sound.","JB"
"id2056","Him. Touching. This body. Aware of its pains. Greetings, Earthlings. My name is Slow And Stumbling. I come from planet","JB"
"id2057","Trouble. I am here to love you uncomfortable.","JB"
