"id","text","author"
"id4000","I had no thought of violets of late, The wild, shy kind that spring beneath your feet In wistful April","MA"
"id4001","days, when lovers mate And wander through the fields in raptures sweet. The thought of violets meant florists’ shops, And","MA"
"id4002","bows and pins, and perfumed papers fine; And garish lights, and mincing little fops And cabarets and songs, and deadening","MA"
"id4003","wine. So far from sweet real things my thoughts had strayed, I had forgot wide fields, and clear brown streams;","MA"
"id4004","The perfect loveliness that God has made,— Wild violets shy and Heaven mounting dreams. And now—unwittingly, you’ve made me dream Of","MA"
"id4005","violets, and my soul’s forgotten gleam. A Rock, A River, A Tree Hosts to species long since departed, Marked the","MA"
"id4006","mastodon, The dinosaur, who left dried tokens Of their sojourn here On our planet floor, Any broad alarm of their","MA"
"id4007","hastening doom Is lost in the gloom of dust and ages. But today, the Rock cries out to us, clearly,","MA"
"id4008","forcefully, Come, you may stand upon my Back and face your distant destiny, But seek no haven in my shadow,","MA"
"id4009","I will give you no hiding place down here. You, created only a little lower than The angels, have crouched","MA"
"id4010","too long in The bruising darkness Have lain too long Facedown in ignorance, Your mouths spilling words Armed for slaughter.","MA"
"id4011","The Rock cries out to us today, You may stand upon me, But do not hide your face. My river","MA"
"id4012","was once unseparated. Was Colorado. Red  fast flood. Able to take anything it could wet—in a wild rush— all the","MA"
"id4013","way to Mexico. Now it is shattered by fifteen dams over one thousand four hundred and fifty miles, pipes and pumps filling","MA"
"id4014","swimming pools and sprinklers in Los Angeles and Las Vegas. To save our fish, we lifted them from our skeletoned","MA"
"id4015","river beds, loosed them in our heavens, set them aster — ‘Achii ‘ahan, Mojave salmon, Colorado pikeminnow— Up there they","MA"
"id4016","glide, gilled with stars. You see them now— god large, gold green sides, moon white belly and breast— making their great speeded way","MA"
"id4017","across the darkest hours, rippling the sapphired sky water into a galaxy road. The blurred wake they drag as they make","MA"
"id4018","their path through the night sky is called ‘Achii ‘ahan nyuunye— our words for Milky Way. Coyote too is up","MA"
"id4019","there, crouched in the moon, after his failed attempt to leap it, fishing net wet and empty, slung over his","MA"
"id4020","back— a prisoner blue and dreaming of unzipping the salmon’s silked skins with his teeth. O, the weakness of any","MA"
"id4021","mouth as it gives itself away to the universe of a sweet milk body. Just as my own mouth is dreamed","MA"
"id4022","to thirst the long desire ways, the hundred thousand light year roads of your throat and thighs. Autumn wind chases in From","MA"
"id4023","all directions And a thousand chaste leaves Give way. Scatter in me the seeds Of a thousand saplings. Let grow","MA"
"id4024","a grassy heaven. On my brow: a sun. This bliss is yours, Living World, and alone it endures. Music at","MA"
"id4025","midnight. Young wine. Lovers hand in hand By daylight, moonlight. Living World, hold me In your mouth, Slip on your","MA"
"id4026","frivolous shoes And dance with me. My soul Is the wild vine Who alone has grasped it, Who has seen","MA"
"id4027","through the awful plot, Who will arrive in time to vanquish The river already heavy with blossoms, The moon spilling","MA"
"id4028","light onto packs Of men. What is sadder than witless Wolves, wind without borders, Nationless birds, small gifts Laden with","MA"
"id4029","love’s intentions? Fistfuls of rain fall hard, fill My heart with mud. An old wind May still come chasing in.","MA"
"id4030","Resurrection fire. And me here Laughing like a cloud in trousers, Entreating the earth to bury me. To everything, there","MA"
"id4031","is a season of parrots. Instead of feathers, we searched the sky for meteors on our last night. Salamanders use","MA"
"id4032","the stars to find their way home. Who knew they could see that far, fix the tiny beads of their","MA"
"id4033","eyes on distant arrangements of lights so as to return to wet and wild nests? Our heads tilt up and","MA"
"id4034","up and we are careful to never look at each other. You were born on a day of peaches splitting","MA"
"id4035","from so much rain and the slick smell of fresh tar and asphalt pushed over a cracked parking lot. You","MA"
"id4036","were strong enough—even as a baby—to clutch a fistful of thistle and the sun himself was proud to light up","MA"
"id4037","your teeth when they first swelled and pushed up from your gums. And this is how I will always remember","MA"
"id4038","you when we are covered up again: by the pale mica flecks on your shoulders. Some thrown there from your","MA"
"id4039","own smile. Some from my own teeth. There are not enough jam jars to can this summer sky at night.","MA"
"id4040","I want to spread those little meteors on a hunk of still warm bread this winter. Any trace left on the","MA"
"id4041","knife will make a kitchen sink like that evening air the cool night before star showers: so sticky so warm","MA"
"id4042","so full of light You may write me down in history With your bitter, twisted lies, You may trod me","MA"
"id4043","in the very dirt But still, like dust, I’ll rise. Does my sassiness upset you? Why are you beset with","MA"
"id4044","gloom? ’Cause I walk like I’ve got oil wells Pumping in my living room. Just like moons and like suns,","MA"
"id4045","With the certainty of tides, Just like hopes springing high, Still I’ll rise. Did you want to see me broken?","MA"
"id4046","Bowed head and lowered eyes? Shoulders falling down like teardrops, Weakened by my soulful cries? Does my haughtiness offend you?","MA"
