"id","text","author"
"id55","sex takes the consent of two if one person is lying there not doing anything cause they are not ready","RK"
"id56","or not in the mood or simply don’t want to yet the other is having sex with their body it’s","RK"
"id57","not love it is rape you tell me to quiet down cause my opinions make me less beautiful but i","RK"
"id58","was not made with a fire in my belly so i could be put out i was not made with","RK"
"id59","a lightness on my tongue so i could be easy to swallow i was made heavy half blade and half","RK"
"id60","silk difficult to forget and not easy for the mind to follow you look just like your mother i guess","RK"
"id61","i do carry her tenderness well you both have the same eyes cause we are both exhausted and the hands","RK"
"id62","we share the same wilting fingers but that rage your mother doesn’t wear that anger you’re right this rage is","RK"
"id63","the one thing i get from my father (homage to warsan shire’s inheritance) father. you always call to say nothing","RK"
"id64","in particular. you ask what i’m doing or where i am and when the silence stretches like a lifetime between","RK"
"id65","us i scramble to find questions to keep the conversation going. what i long to say most is, i understand","RK"
"id66","this world broke you, it has been so hard on your feet. i don’t blame you for not knowing how","RK"
"id67","to remain soft with me. sometimes i stay up thinking of all the places you are hurting which you’ll never","RK"
"id68","care to mention. i com from the same aching blood. from the same bone so desperate for attention i collapse","RK"
"id69","in on myself. i am your daughter. i know the small talk is the only way you know how to","RK"
"id70","tell me you love me, cause it is the only way I know how to tell you. the thing about","RK"
"id71","having an alcoholic parent is an alcoholic parent does not exist simply an alcoholic who could not stay sober long","RK"
"id72","enough to raise their kids love will come and when love comes love will hold you love will call your","RK"
"id73","name and you will melt sometimes though love will hurt you but love will never mean to love will play","RK"
"id74","no games cause love knows life has been hard enough already i need someone who knows struggle as well as","RK"
"id75","i do someone willing to hold my feet in their lap on days it is too difficult to stand the","RK"
"id76","type of person who gives exactly what i need before i ever know i need it the type of lover","RK"
"id77","who hears me even when i do not speak is the type of understanding i demand – the type of","RK"
"id78","lover i need he only whispers i love you as he slips his hands down the waistband of your pants","RK"
"id79","this is where you must understand the difference between want and need you may want that boy but you certainly","RK"
"id80","don’t need him did you think i was a city big enough for a weekend getaway i am the town","RK"
"id81","surrounding it the one you’ve never heard of but always pass through there are no neon lights here no skyscrapers","RK"
"id82","or statues but there is thunder for i make bridges tremble i am not street meat i am homemade jam","RK"
"id83","thick enough to cut the sweetest thing your lips will touch i am not police sirens i am the crackle","RK"
"id84","of a fireplace i’d burn you and you still couldn’t take your eyes off me cause i’d look so beautiful","RK"
"id85","doing it you’d blush i am not a hotel room i am home i am not the whiskey you want","RK"
"id86","i am the water you need don’t come here with expectations and try to make a vacation out of me","RK"
"id87","if he can’t help but degrade other women when they’re not looking if toxicity is central to his language he","RK"
"id88","could hold you in his lap and be soft honey that man could feed you sugar and douse you in","RK"
"id89","rose water but that still could not make him sweet – if you want to know the type of man","RK"
"id90","he is you treat them like they have a heart like yours but not everyone can be as soft and","RK"
"id91","as tender you don’t see the person they are you see the person they have the potential to be you","RK"
"id92","give and give till they pull everything out of you and leave you empty i don’t know what living a","RK"
"id93","balanced life feels like when i am sad i don’t cry i pour when i am happy i don’t smile","RK"
"id94","i glow when i am angry i don’t yell i burn the good thing about feeling in extremes is when","RK"
"id95","i love i give them wings but perhaps that isn’t such a good thing cause they always tend to leave","RK"
"id96","and you should see me when my heart is broken i don’t grieve i shatter you were not wrong for","RK"
"id97","leaving you were wrong for coming back and thinking you could have me when it was convenient and leave when","RK"
"id98","it was not love is not cruel we are cruel love is not a game we have made a game","RK"
"id99","out of love i am confident i am over you. so much that some mornings i wake up with a","RK"
"id100","smile on my face and my hands pressed together thanking the universe for pulling you out of me. thank god","RK"
"id101","i cry. thank god you left. i would not be the empire i am today if you had stayed. but","RK"
"id102","then. there are some nights i imagine what i might do if you showed up. how if you walked into","RK"
"id103","the room this very second every awful thing you’ve ever done would be tossed out the closest window and all","RK"
"id104","the love would rise up again. it would pour through my eyes as if it never really left in the","RK"
"id105","first place. as if it’s been practicing how to stay silent so long only so it could be this loud","RK"
"id106","on your arrival. can someone explain that. how even when the love leaves. it doesn’t leave. how even when i","RK"
"id107","am so past you. i am so helplessly brought back to you. what i miss most is how you loved","RK"
"id108","me. but what i didn’t know was how you loved me so much to do with the person i was.","RK"
"id109","it was a reflection of everything i gave to you. coming back to me. how did i not see that.","RK"
"id110","how, did i sit here soaking in the idea that no one else would love me that way. when it","RK"
"id111","was i that taught you. when it was i that showed you how to fill. the way i needed to","RK"
"id112","be filled. how cruel i was to myself. giving you credit for my warmth simply because you had felt it.","RK"
"id113","thinking it was you who gave me strength. wit. beauty. simply because you recognized it. as if i was already","RK"
"id114","not these things before i met you. as if i did not remain all these once you left. you are","RK"
"id115","in the habit of co","depending on people to make up for what you think you lack who tricked you into","RK"
"id116","believing another person was meant to complete you when the most they can do is complement you tell me i","RK"
"id117","am not like most girls and learn to kiss me with your eyes closed something about the phrase– something about","RK"
"id118","how i have to be unlike the women i call sisters in order to be wanted makes me want to","RK"
"id119","spit your tongue out like i am supposed to be proud of you picked me as if i should be","RK"
"id120","relieved you think i am better than them the next time he points out the hair on your legs is","RK"
"id121","growing back remind that boy your body is not his home he is a guest warn him to never outstep","RK"
"id122","his welcome again i like the way the stretch marks on my thighs look human and that we’re so soft","RK"
"id123","yet rough and jungle wild hen we need to be i love that about us how capable we are of","RK"
"id124","feeling how unafraid we are of breaking and tend to our wounds with grace just being a woman calling myself","RK"
"id125","a woman makes me utterly whole and complete my issue with what they consider beautiful is their concept of beauty","RK"
"id126","centers around excluding people i find hair beautiful when a woman wears it like a garden on her skin that","RK"
"id127","is the definition of beauty big hooked noses pointing upward to the sky like they’re rising to the occasion skin","RK"
"id128","the color of earth my ancestors planted crops on to feed a lineage of women with thighs thick as tree","RK"
"id129","trunks eyes like almonds deeply hooded with conviction the rivers of punjab flow through my bloodstream so don’t tell me","RK"
"id130","my women aren’t as beautiful as the ones in your country removing all the hair off your body is okay","RK"
"id131","if that’s what you want to do just as much as keeping all the hair on your body is okay","RK"
"id132","if that’s what you want to do ","you belong only to yourself apparently it is ungraceful of me to mention","RK"
"id133","my period in public cause the actual biology of my body is too real it is okay to sell what’s","RK"
"id134","between a woman’s legs more than it is okay to mention its inner workings the recreational use of this body","RK"
"id135","is seen as beautiful while its nature is seen as ugly you were a dragon long before he came around","RK"
"id136","and said you could fly you will remain a dragon long after he’s left i want to apologize to all","RK"
"id137","the women i have called pretty before i’ve called them intelligent or brave i am sorry i made it sound","RK"
"id138","as though something as simple as what you’re born with is the most you have to be proud of when","RK"
"id139","your spirit has crushed mountains from now on i will say things like you are resilient or you are extraordinary","RK"
"id140","not because i don’t think you’re pretty but because you are so much more than that my heart aches for","RK"
"id141","sisters more than anything it aches for women helping women like flowers ache for spring hair if it was not","RK"
"id142","supposed to be there would not be growing on our bodies in the first place ","we are at war with","RK"
"id143","what comes most naturally to us what terrifies me most is how we foam at the mouth with envy when","RK"
"id144","others succeed but sigh in relief when they are failing our struggle to celebrate each other is what’s proven most","RK"
"id145","difficult in being human","RK"
