"id","text","author"
"id3000","FROM off a hill whose concave womb reworded A plaintful story from a sistering vale, My spirits to attend this","SS"
"id3001","double voice accorded, And down I laid to list the sadtuned tale; Ere long espied a fickle maid full pale,","SS"
"id3002","Tearing of papers, breaking rings a twain, Storming her world with sorrow's wind and rain. Upon her head a platted hive","SS"
"id3003","of straw, Which fortified her visage from the sun, Whereon the thought might think sometime it saw The carcass of","SS"
"id3004","beauty spent and done: Time had not scythed all that youth begun, Nor youth all quit; but, spite of heaven's","SS"
"id3005","fell rage, Some beauty peep'd through lattice of sear'd age. Oft did she heave her napkin to her eyne, Which","SS"
"id3006","on it had conceited characters, Laundering the silken figures in the brine That season'd woe had pelleted in tears, And","SS"
"id3007","often reading what contents it bears; As often shrieking undistinguish'd woe, In clamours of all size, both high and low.","SS"
"id3008","Sometimes her levell'd eyes their carriage ride, As they did battery to the spheres intend; Sometime diverted their poor balls","SS"
"id3009","are tied To the orbed earth; sometimes they do extend Their view right on; anon their gazes lend To every","SS"
"id3010","place at once, and, nowhere fix'd, The mind and sight distractedly commix'd. Her hair, nor loose nor tied in formal","SS"
"id3011","plat, Proclaim'd in her a careless hand of pride For some, untuck'd, descended her sheaved hat, Hanging her pale and","SS"
"id3012","pined cheek beside; Some in her threaden fillet still did bide, And true to bondage would not break from thence,","SS"
"id3013","Though slackly braided in loose negligence. A thousand favours from a maund she drew Of amber, crystal, and of beaded","SS"
"id3014","jet, Which one by one she in a river threw, Upon whose weeping margent she was set; Like usury, applying","SS"
"id3015","wet to wet, Or monarch's hands that let not bounty fall Where want cries some, but where excess begs all.","SS"
"id3016","Of folded schedules had she many a one, Which she perused, sigh'd, tore, and gave the flood; Crack'd many a","SS"
"id3017","ring of posied gold and bone Bidding them find their sepulchres in mud; Found yet moe letters sadly penn'd in","SS"
"id3018","blood, With sleided silk feat and affectedly Enswathed, and seal'd to curious secrecy. These often bathed she in her fluxive","SS"
"id3019","eyes, And often kiss'd, and often 'gan to tear: Cried 'O false blood, thou register of lies, What unapproved witness","SS"
"id3020","dost thou bear! Ink would have seem'd more black and damned here!' This said, in top of rage the lines","SS"
"id3021","she rents, Big discontent so breaking their contents. A reverend man that grazed his cattle nigh  Sometime a blusterer, that","SS"
"id3022","the ruffle knew Of court, of city, and had let go by The swiftest hours, observed as they flew Towards","SS"
"id3023","this afflicted fancy fastly drew, And, privileged by age, desires to know In brief the grounds and motives of her","SS"
"id3024","woe. So slides he down upon his grained bat, And comely distant sits he by her side; When he again desires","SS"
"id3025","her, being sat, Her grievance with his hearing to divide: If that from him there may be aught applied Which","SS"
"id3026","may her suffering ecstasy assuage, 'Tis promised in the charity of age. 'Father,' she says, 'though in me you behold","SS"
"id3027","The injury of many a blasting hour, Let it not tell your judgment I am old; Not age, but sorrow,","SS"
"id3028","over me hath power: I might as yet have been a spreading flower, Fresh to myself, If I had self","applied","SS"
"id3029","Love to myself and to no love beside. 'But, woe is me! too early I attended A youthful suit it was","SS"
"id3030","to gain my grace  Of one by nature's outwards so commended, That maidens' eyes stuck over all his face: Love","SS"
"id3031","lack'd a dwelling, and made him her place; And when in his fair parts she did abide, She was new","SS"
"id3032","lodged and newly deified. 'His browny locks did hang in crooked curls; And every light occasion of the wind Upon","SS"
"id3033","his lips their silken parcels hurls. What's sweet to do, to do will aptly find: Each eye that saw him","SS"
"id3034","did enchant the mind, For on his visage was in little drawn What largeness thinks in Paradise was sawn. 'Small","SS"
"id3035","show of man was yet upon his chin; His phoenix down began but to appear Like unshorn velvet on that","SS"
"id3036","termless skin Whose bare out bragg'd the web it seem'd to wear: Yet show'd his visage by that cost more dear;","SS"
"id3037","And nice affections wavering stood in doubt If best were as it was, or best without. 'His qualities were beauteous","SS"
"id3038","as his form, For maiden tongued he was, and thereof free; Yet, if men moved him, was he such a storm","SS"
"id3039","As oft 'twixt May and April is to see, When winds breathe sweet, untidy though they be. His rudeness so","SS"
"id3040","with his authorized youth Did livery falseness in a pride of truth. 'Well could he ride, and often men would","SS"
"id3041","say 'That horse his mettle from his rider takes: Proud of subjection, noble by the sway, What rounds, what bounds,","SS"
"id3042","what course, what stop he makes!' And controversy hence a question takes, Whether the horse by him became his deed,","SS"
"id3043","Or he his manage by the well doing steed. 'But quickly on this side the verdict went: His real habitude gave","SS"
"id3044","life and grace To appertainings and to ornament, Accomplish'd in himself, not in his case: All aids, themselves made fairer","SS"
"id3045","by their place, Came for additions; yet their purposed trim Pieced not his grace, but were all graced by him.","SS"
"id3046","'So on the tip of his subduing tongue All kinds of arguments and question deep, All replication prompt, and reason","SS"
"id3047","strong, For his advantage still did wake and sleep: To make the weeper laugh, the laugher weep, He had the","SS"
"id3048","dialect and different skill, Catching all passions in his craft of will: 'That he did in the general bosom reign","SS"
"id3049","Of young, of old; and sexes both enchanted, To dwell with him in thoughts, or to remain In personal duty,","SS"
"id3050","following where he haunted: Consents bewitch'd, ere he desire, have granted; And dialogued for him what he would say, Ask'd","SS"
"id3051","their own wills, and made their wills obey. 'Many there were that did his picture get, To serve their eyes,","SS"
"id3052","and in it put their mind; Like fools that in th' imagination set The goodly objects which abroad they find","SS"
"id3053","Of lands and mansions, theirs in thought assign'd; And labouring in moe pleasures to bestow them Than the true gouty","SS"
"id3054","landlord which doth owe them: 'So many have, that never touch'd his hand, Sweetly supposed them mistress of his heart.","SS"
"id3055","My woeful self, that did in freedom stand, And was my own fee simple, not in part, What with his art","SS"
"id3056","in youth, and youth in art, Threw my affections in his charmed power, Reserved the stalk and gave him all","SS"
"id3057","my flower. 'Yet did I not, as some my equals did, Demand of him, nor being desired yielded; Finding myself","SS"
"id3058","in honour so forbid, With safest distance I mine honour shielded: Experience for me many bulwarks builded Of proofs new","bleeding,","SS"
